term;description;casesensitive;translatable;forbidden;tags;en-US;en-US_description;pt-PT;pt-PT_description
Clear search;;no;yes;no;;Clear search;;Limpar pesquisa;
Close;;no;yes;no;;Close;;Fechar;
Closed;;no;yes;no;;Closed;;Fechado;
Closed without document;;no;yes;no;;Closed without document;;Fechado sem documento;
Code;;no;yes;no;;Code;;Código;
Collaborative;;no;yes;no;;Collaborative;;Colaborativo;
Collapse;;no;yes;no;;Collapse;;Colapso;
Color;;no;yes;no;;Color;;Cor;
Column name;;no;yes;no;;Column name;;Nome da coluna;
Columns;;no;yes;no;;Columns;;Colunas;
Coming soon;;no;yes;no;;Coming soon;;Em breve;
Comm manager;;no;yes;no;;Comm manager;;Gestor de comunicações;
Comm round;;no;yes;no;;Comm round;;Ronda de comunicação;
Comment;;no;yes;no;;Comment;;Comentário;
Comments;;no;yes;no;;Comments;;Comentários;
Communication;;no;yes;no;;Communication;;Comunicação;
Communication Rounds;;no;yes;no;;Communication Rounds;;Rondas de comunicação;
Communication manager;;no;yes;no;;Communication manager;;Gestor de comunicação;
Communication manager name;;no;yes;no;;Communication manager name;;Nome do gestor de comunicação;
Communication round;;no;yes;no;;Communication round;;Ronda de comunicação;
Communication rounds;;no;yes;no;;Communication rounds;;Rondas de comunicação;
Comp Rounds;;no;yes;no;;Comp Rounds;;Rondas de compensação;
Comp element;;no;yes;no;;Comp element;;Elemento de compensação;
Comp elements;;no;yes;no;;Comp elements;;Elementos de compensação;
Comp manager;;no;yes;no;;Comp manager;;Gestor de compensações;
Comp managers;;no;yes;no;;Comp managers;;Gestores de compensação;
Comp round;;no;yes;no;;Comp round;;Ronda de compensação;
Comp round currency;;no;yes;no;;Comp round currency;;Moeda de ronda de comp;
Comp rounds;;no;yes;no;;Comp rounds;;Rondas de compensação;
Comp tree;;no;yes;no;;Comp tree;;Árvore de compensação;
Company;;no;yes;no;;Company;;Empresa;
Company logo;;no;yes;no;;Company logo;;Logótipo da empresa;
Company name;;no;yes;no;;Company name;;Nome da empresa;
Compare;;no;yes;no;;Compare;;Comparar;
Compensation;;no;yes;no;;Compensation;;Compensação;
Compensation Element;;no;yes;no;;Compensation Element;;Elemento de compensação;
Compensation History;;no;yes;no;;Compensation History;;Histórico de compensações;
Compensation Management;;no;yes;no;;Compensation Management;;Gestão de Remuneração;
Compensation Rounds;;no;yes;no;;Compensation Rounds;;Rondas de compensação;
Compensation element;;no;yes;no;;Compensation element;;Elemento de compensação;
Compensation elements;;no;yes;no;;Compensation elements;;Elementos de compensação;
Compensation field;;no;yes;no;;Compensation field;;Campo de remuneração;
Compensation framework;;no;yes;no;;Compensation framework;;Estrutura de compensação;
Compensation history;;no;yes;no;;Compensation history;;Histórico de compensação;
Compensation manager;;no;yes;no;;Compensation manager;;Gestor de compensação;
Compensation philosophy;;no;yes;no;;Compensation philosophy;;Filosofia de compensação;
Compensation rounds;;no;yes;no;;Compensation rounds;;Rondas de compensação;
Competency Scales;;no;yes;no;;Competency Scales;;Escalas de competência;
Competency scale;;no;yes;no;;Competency scale;;Escala de competências;
Complete;;no;yes;no;;Complete;;Concluído;
Completed;;no;yes;no;;Completed;;Concluído;
Completion;;no;yes;no;;Completion;;Conclusão;
Completion rate;;no;yes;no;;Completion rate;;Taxa de conclusão;
Concatenated fields;;no;yes;no;;Concatenated fields;;Campos concatenados;
Conditional;;no;yes;no;;Conditional;;Condicional;
Conditional formatting;;no;yes;no;;Conditional formatting;;Formatação condicional;
Config;;no;yes;no;;Config;;Configuração;
Configuration;;no;yes;no;;Configuration;;Configuração;
Configurations;;no;yes;no;;Configurations;;Configurações;
Confirm;;no;yes;no;;Confirm;;Confirmar;
Confirm deletion;;no;yes;no;;Confirm deletion;;Confirmar eliminação;
Confirmation;;no;yes;no;;Confirmation;;Confirmação;
Connection name;;no;yes;no;;Connection name;;Nome da ligação;
Constructive;;no;yes;no;;Constructive;;Construtivo;
Contains;;no;yes;no;;Contains;;Contém;
Continue;;no;yes;no;;Continue;;Continuar;
Continue editing;;no;yes;no;;Continue editing;;Continuar a editar;
Contract type;;no;yes;no;;Contract type;;Tipo de contrato;
Conversation & publication;;no;yes;no;;Conversation & publication;;Conversa e publicação;
Copy;;no;yes;no;;Copy;;Copiar;
Cost Center;;no;yes;no;;Cost Center;;Centro de custos;
Cost center;;no;yes;no;;Cost center;;Centro de custos;
Count;;no;yes;no;;Count;;Contagem;
Country;;no;yes;no;;Country;;País;
Create;;no;yes;no;;Create;;Criar;
Create check-in;;no;yes;no;;Create check-in;;Criar check-in;
Create communication round;;no;yes;no;;Create communication round;;Criar ronda de comunicação;
Create document;;no;yes;no;;Create document;;Criar documento;
Create goal;;no;yes;no;;Create goal;;Criar objetivo;
Create goal plan;;no;yes;no;;Create goal plan;;Criar plano de objetivo;
Create goal type;;no;yes;no;;Create goal type;;Criar tipo de objetivo;
Create model;;no;yes;no;;Create model;;Criar modelo;
Create performance review;;no;yes;no;;Create performance review;;Criar avaliação de desempenho;
Create rule;;no;yes;no;;Create rule;;Criar regra;
Created;;no;yes;no;;Created;;Criado;
Created by;;no;yes;no;;Created by;;Criado por;
Created date;;no;yes;no;;Created date;;Data de criação;
Created on;;no;yes;no;;Created on;;Criado em;
Creation date;;no;yes;no;;Creation date;;Data de criação;
Creator;;no;yes;no;;Creator;;Criador;
Criteria;;no;yes;no;;Criteria;;Critérios;
Criteria blocks;;no;yes;no;;Criteria blocks;;Blocos de critérios;
Criterion;;no;yes;no;;Criterion;;Critério;
Currency;;no;yes;no;;Currency;;Moeda;
Currency Settings;;no;yes;no;;Currency Settings;;Definições de Moeda;
Currency field;;no;yes;no;;Currency field;;Campo de moeda;
Currency source;;no;yes;no;;Currency source;;Origem da moeda;
Current;;no;yes;no;;Current;;Atual;
Current manager;;no;yes;no;;Current manager;;Gestor atual;
Custom;;no;yes;no;;Custom;;Personalizado;
Custom Entities;;no;yes;no;;Custom Entities;;Entidades Personalizadas;
Custom Fields;;no;yes;no;;Custom Fields;;Campos personalizados;
Custom column;;no;yes;no;;Custom column;;Coluna personalizada;
Custom criteria;;no;yes;no;;Custom criteria;;Critérios personalizados;
Custom entities;;no;yes;no;;Custom entities;;Entidades personalizadas;
Custom fields;;no;yes;no;;Custom fields;;Campos personalizados;
Custom section;;no;yes;no;;Custom section;;Secção personalizada;
Custom widget;;no;yes;no;;Custom widget;;Widget personalizado;
Data Entities & Sources;;no;yes;no;;Data Entities & Sources;;Entidades de dados e fontes;
Data Foundation;;no;yes;no;;Data Foundation;;Fundação de dados;
Data Management;;no;yes;no;;Data Management;;Gestão de dados;
Data Privacy;;no;yes;no;;Data Privacy;;Privacidade de dados;
Data Retention;;no;yes;no;;Data Retention;;Retenção de dados;
Data Upload;;no;yes;no;;Data Upload;;Carregamento de Dados;
Data entities & sources;;no;yes;no;;Data entities & sources;;Entidades e fontes de dados;
Data foundation;;no;yes;no;;Data foundation;;Fundação de dados;
Data management;;no;yes;no;;Data management;;Gestão de dados;
Data model;;no;yes;no;;Data model;;Modelo de dados;
Data privacy;;no;yes;no;;Data privacy;;Privacidade de dados;
Data privacy statement;;no;yes;no;;Data privacy statement;;Declaração de privacidade de dados;
Data retention period;;no;yes;no;;Data retention period;;Período de retenção de dados;
Data scope;;no;yes;no;;Data scope;;Âmbito de dados;
Data source;;no;yes;no;;Data source;;Fonte de dados;
Dataset;;no;yes;no;;Dataset;;Conjunto de dados;
Date;;no;yes;no;;Date;;Data;
Date & Time;;no;yes;no;;Date & Time;;Data e hora;
Date & time;;no;yes;no;;Date & time;;Data e hora;
Date to;;no;yes;no;;Date to;;Data até;
Days;;no;yes;no;;Days;;Dias;
Deactivate;;no;yes;no;;Deactivate;;Desativar;
Deactivated;;no;yes;no;;Deactivated;;Desativado;
Deactivated user;;no;yes;no;;Deactivated user;;Utilizador desativado;
Deactivation;;no;yes;no;;Deactivation;;Desativação;
Deadline status;;no;yes;no;;Deadline status;;Estado do prazo;
Decimal precision;;no;yes;no;;Decimal precision;;Precisão decimal;
Default;;no;yes;no;;Default;;Predefinição;
Default beqom logo;;no;yes;no;;Default beqom logo;;Logótipo padrão beqom;
Default value;;no;yes;no;;Default value;;Valor padrão;
Delete;;no;yes;no;;Delete;;Eliminar;
Delete all;;no;yes;no;;Delete all;;Eliminar tudo;
Delete comment;;no;yes;no;;Delete comment;;Eliminar comentário;
Delete goal;;no;yes;no;;Delete goal;;Eliminar objetivo;
Delete note;;no;yes;no;;Delete note;;Eliminar nota;
Delete rule;;no;yes;no;;Delete rule;;Eliminar regra;
Delete selected;;no;yes;no;;Delete selected;;Eliminar selecionado;
Deleted;;no;yes;no;;Deleted;;Eliminado;
Deleted by;;no;yes;no;;Deleted by;;Eliminado por;
Deletion;;no;yes;no;;Deletion;;Eliminação;
Deliverable;;no;yes;no;;Deliverable;;Entregável;
Deliverables;;no;yes;no;;Deliverables;;Entregas;
Demographic;;no;yes;no;;Demographic;;Demográfico;
Demographics;;no;yes;no;;Demographics;;Demografia;
Department;;no;yes;no;;Department;;Departamento;
Description;;no;yes;no;;Description;;Descrição;
Desktop;;no;yes;no;;Desktop;;Computador;
Details;;no;yes;no;;Details;;Detalhes;
Development;;no;yes;no;;Development;;Desenvolvimento;
Development plans;;no;yes;no;;Development plans;;Planos de desenvolvimento;
Digital reward statement;;no;yes;no;;Digital reward statement;;Extrato de recompensas digitais;
Direct Reports;;no;yes;no;;Direct Reports;;Subordinados diretos;
Direct report;;no;yes;no;;Direct report;;Subordinado direto;
Direct reports;;no;yes;no;;Direct reports;;Subordinados diretos;
Direction;;no;yes;no;;Direction;;Direção;
Disable;;no;yes;no;;Disable;;Desativar;
Disabled;;no;yes;no;;Disabled;;Desativado;
Discard;;no;yes;no;;Discard;;Descartar;
Discussion;;no;yes;no;;Discussion;;Discussão;
Discussion outcome;;no;yes;no;;Discussion outcome;;Resultado da discussão;
Discussion point;;no;yes;no;;Discussion point;;Ponto de discussão;
Discussion points;;no;yes;no;;Discussion points;;Pontos de discussão;
Display name;;no;yes;no;;Display name;;Nome de exibição;
Distribution;;no;yes;no;;Distribution;;Distribuição;
Distribution guidelines;;no;yes;no;;Distribution guidelines;;Diretrizes de distribuição;
Document;;no;yes;no;;Document;;Documento;
Document Settings;;no;yes;no;;Document Settings;;Definições do Documento;
Document Templates;;no;yes;no;;Document Templates;;Modelos de Documento;
Document generation;;no;yes;no;;Document generation;;Geração de documentos;
Document name;;no;yes;no;;Document name;;Nome do documento;
Document preview;;no;yes;no;;Document preview;;Pré-visualização do documento;
Document review;;no;yes;no;;Document review;;Revisão de documentos;
Document settings;;no;yes;no;;Document settings;;Definições do documento;
Document status;;no;yes;no;;Document status;;Estado do documento;
Document template;;no;yes;no;;Document template;;Modelo de documento;
Documents;;no;yes;no;;Documents;;Documentos;
Done;;no;yes;no;;Done;;Concluído;
Download;;no;yes;no;;Download;;Transferir;
Download CSV;;no;yes;no;;Download CSV;;Transferir CSV;
Download log file;;no;yes;no;;Download log file;;Descarregar ficheiro de registo;
Download template;;no;yes;no;;Download template;;Transferir modelo;
Download the template;;no;yes;no;;Download the template;;Transferir o modelo;
Draft;;no;yes;no;;Draft;;Rascunho;
Drop-down list;;no;yes;no;;Drop-down list;;Lista pendente;
Due date;;no;yes;no;;Due date;;Data de vencimento;
Duplicate;;no;yes;no;;Duplicate;;Duplicar;
Duplication successful;;no;yes;no;;Duplication successful;;Duplicação bem-sucedida;
Edit;;no;yes;no;;Edit;;Editar;
Edit goal;;no;yes;no;;Edit goal;;Editar objetivo;
Edit model;;no;yes;no;;Edit model;;Editar modelo;
Edit note;;no;yes;no;;Edit note;;Editar nota;
Edited;;no;yes;no;;Edited;;Editado;
Education;;no;yes;no;;Education;;Educação;
Effective date;;no;yes;no;;Effective date;;Data de entrada em vigor;
Eligibility;;no;yes;no;;Eligibility;;Elegibilidade;
Eligible;;no;yes;no;;Eligible;;Elegível;
Eligible workers;;no;yes;no;;Eligible workers;;Trabalhadores elegíveis;
Else;;no;yes;no;;Else;;Caso contrário;
Email Notifications;;no;yes;no;;Email Notifications;;Notificações por e-mail;
Email address;;no;yes;no;;Email address;;Endereço de email;
Email notification;;no;yes;no;;Email notification;;Notificação por e-mail;
Email notifications;;no;yes;no;;Email notifications;;Notificações de e-mail;
Email subject;;no;yes;no;;Email subject;;Assunto do e-mail;
Employment;;no;yes;no;;Employment;;Emprego;
Empty;;no;yes;no;;Empty;;Vazio;
Enable;;no;yes;no;;Enable;;Activar;
Enable Feedback;;no;yes;no;;Enable Feedback;;Ativar feedback;
Enabled;;no;yes;no;;Enabled;;Ativado;
End date;;no;yes;no;;End date;;Data de término;
Endorsed;;no;yes;no;;Endorsed;;Apoiado;
Enter;;no;yes;no;;Enter;;Introduzir;
Enter a name;;no;yes;no;;Enter a name;;Introduzir um nome;
Enter text;;no;yes;no;;Enter text;;Introduzir texto;
Entities;;no;yes;no;;Entities;;Entidades;
Entities & fields;;no;yes;no;;Entities & fields;;Entidades e campos;
Entity;;no;yes;no;;Entity;;Entidade;
Entity details;;no;yes;no;;Entity details;;Detalhes da entidade;
Entity enum;;no;yes;no;;Entity enum;;Enumeração de entidade;
Entity name;;no;yes;no;;Entity name;;Nome da entidade;
Equal to;;no;yes;no;;Equal to;;Igual a;
Equity;;no;yes;no;;Equity;;Capital próprio;
Error;;no;yes;no;;Error;;Erro;
Errors;;no;yes;no;;Errors;;Erros;
Evaluation section;;no;yes;no;;Evaluation section;;Secção de avaliação;
Examples;;no;yes;no;;Examples;;Exemplos;
Exchange Rates;;no;yes;no;;Exchange Rates;;Taxas de Câmbio;
Exchange rate;;no;yes;no;;Exchange rate;;Taxa de câmbio;
Exchange rate type;;no;yes;no;;Exchange rate type;;Tipo de taxa de câmbio;
Exchange rates;;no;yes;no;;Exchange rates;;Taxas de câmbio;
Exclude;;no;yes;no;;Exclude;;Excluir;
Exclude individuals;;no;yes;no;;Exclude individuals;;Excluir indivíduos;
Excluded;;no;yes;no;;Excluded;;Excluído;
Exit;;no;yes;no;;Exit;;Sair;
Exit without saving;;no;yes;no;;Exit without saving;;Sair sem guardar;
Expand;;no;yes;no;;Expand;;Expandir;
Experience;;no;yes;no;;Experience;;Experiência;
Export;;no;yes;no;;Export;;Exportar;
Expression;;no;yes;no;;Expression;;Expressão;
Expression formula;;no;yes;no;;Expression formula;;Fórmula de expressão;
External;;no;yes;no;;External;;Externo;
Failed;;no;yes;no;;Failed;;Falhou;
Favorite;;no;yes;no;;Favorite;;Favorito;
Favorite feedback;;no;yes;no;;Favorite feedback;;Feedback favorito;
Favorites;;no;yes;no;;Favorites;;Favoritos;
Feature;;no;yes;no;;Feature;;Funcionalidade;
Feature Enablement;;no;yes;no;;Feature Enablement;;Ativação de funcionalidades;
Feature enablement;;no;yes;no;;Feature enablement;;Ativação de funcionalidades;
Features;;no;yes;no;;Features;;Funcionalidades;
Feedback Ratings;;no;yes;no;;Feedback Ratings;;Classificações do Feedback;
Feedback from;;no;yes;no;;Feedback from;;Feedback de;
Feedback insights;;no;yes;no;;Feedback insights;;Perceções de feedback;
Feedback note;;no;yes;no;;Feedback note;;Nota de feedback;
Feedback notes;;no;yes;no;;Feedback notes;;Notas de feedback;
Feedback rating;;no;yes;no;;Feedback rating;;Classificação de feedback;
Feedback received;;no;yes;no;;Feedback received;;Feedback recebido;
Feedback request;;no;yes;no;;Feedback request;;Pedido de feedback;
Feedback requested;;no;yes;no;;Feedback requested;;Feedback solicitado;
Feedback requests;;no;yes;no;;Feedback requests;;Pedidos de feedback;
Feedback sent;;no;yes;no;;Feedback sent;;Feedback enviado;
Feedback sent to;;no;yes;no;;Feedback sent to;;Feedback enviado para;
Female;;no;yes;no;;Female;;Feminino;
Field;;no;yes;no;;Field;;Campo;
Field name;;no;yes;no;;Field name;;Nome do campo;
Fields;;no;yes;no;;Fields;;Campos;
Fields used;;no;yes;no;;Fields used;;Campos utilizados;
File name;;no;yes;no;;File name;;Nome do ficheiro;
File upload;;no;yes;no;;File upload;;Carregamento de ficheiro;
Fill in the necessary details;;no;yes;no;;Fill in the necessary details;;Preencha os detalhes necessários;
Filter;;no;yes;no;;Filter;;Filtrar;
Filters;;no;yes;no;;Filters;;Filtros;
Final Validation;;no;yes;no;;Final Validation;;Validação final;
Final validation;;no;yes;no;;Final validation;;Validação final;
Fixed;;no;yes;no;;Fixed;;Corrigido;
For managers;;no;yes;no;;For managers;;Para gestores;
For workers;;no;yes;no;;For workers;;Para trabalhadores;
Formatting;;no;yes;no;;Formatting;;Formatação;
Forms;;no;yes;no;;Forms;;Formulários;
Formula;;no;yes;no;;Formula;;Fórmula;
From;;no;yes;no;;From;;De;
Full name;;no;yes;no;;Full name;;Nome completo;
Functions;;no;yes;no;;Functions;;Funções;
Gender;;no;yes;no;;Gender;;Género;
General;;no;yes;no;;General;;Geral;
General information;;no;yes;no;;General information;;Informações gerais;
Generate;;no;yes;no;;Generate;;Gerar;
Generate PDF;;no;yes;no;;Generate PDF;;Gerar PDF;
Generated;;no;yes;no;;Generated;;Gerado;
Generation date;;no;yes;no;;Generation date;;Data de geração;
Get started by creating one;;no;yes;no;;Get started by creating one;;Comece por criar um;
Give;;no;yes;no;;Give;;Dar;
Give feedback;;no;yes;no;;Give feedback;;Dar feedback;
Global currency;;no;yes;no;;Global currency;;Moeda global;
Global worker category;;no;yes;no;;Global worker category;;Categoria de trabalhador global;
Go to feedback;;no;yes;no;;Go to feedback;;Ir para feedback;
Goal;;no;yes;no;;Goal;;Objetivo;
Goal Achievement;;no;yes;no;;Goal Achievement;;Alcançar o objetivo;
Goal Alignment;;no;yes;no;;Goal Alignment;;Alinhamento de Objetivos;
Goal Details;;no;yes;no;;Goal Details;;Detalhes do Objetivo;
Goal ID;;no;yes;no;;Goal ID;;ID do objetivo;
Goal Overview;;no;yes;no;;Goal Overview;;Visão Geral dos Objetivos;
Goal Plan;;no;yes;no;;Goal Plan;;Plano de objetivo;
Goal Plans;;no;yes;no;;Goal Plans;;Planos de objetivo;
Goal Status;;no;yes;no;;Goal Status;;Estado do Objetivo;
Goal Tag Libraries;;no;yes;no;;Goal Tag Libraries;;Bibliotecas de etiquetas de objetivos;
Goal Types;;no;yes;no;;Goal Types;;Tipos de objetivos;
Goal achievement;;no;yes;no;;Goal achievement;;Realização de objetivos;
Goal alignment;;no;yes;no;;Goal alignment;;Alinhamento de objetivos;
Goal creator;;no;yes;no;;Goal creator;;Criador de objetivos;
Goal details;;no;yes;no;;Goal details;;Detalhes do objetivo;
Goal name;;no;yes;no;;Goal name;;Nome do objetivo;
Goal overview;;no;yes;no;;Goal overview;;Visão geral do objetivo;
Goal owner;;no;yes;no;;Goal owner;;Proprietário do objetivo;
Goal owner worker ID;;no;yes;no;;Goal owner worker ID;;ID do colaborador proprietário do objetivo;
Goal period;;no;yes;no;;Goal period;;Período do objetivo;
Goal plan;;no;yes;no;;Goal plan;;Plano de objetivos;
Goal plans;;no;yes;no;;Goal plans;;Planos de objetivos;
Goal priority;;no;yes;no;;Goal priority;;Prioridade do objetivo;
