term;description;casesensitive;translatable;forbidden;tags;en-US;en-US_description;tr-TR;tr-TR_description
Career Development Plans;;no;yes;no;;Career Development Plans;;Kariyer Gelişim Planları;
Career Development Settings;;no;yes;no;;Career Development Settings;;Kariyer Gelişimi Ayarları;
Career development;;no;yes;no;;Career development;;Kariyer gelişimi;
Career development plan;;no;yes;no;;Career development plan;;Kariyer gelişim planı;
Career development plans;;no;yes;no;;Career development plans;;Kariyer gelişim planları;
Career development settings;;no;yes;no;;Career development settings;;Kariyer gelişimi ayarları;
Career plan questionnaire;;no;yes;no;;Career plan questionnaire;;Kariyer planı anketi;
Career plans;;no;yes;no;;Career plans;;Kariyer planları;
Categories;;no;yes;no;;Categories;;Kategoriler;
Category;;no;yes;no;;Category;;Kategori;
Challenge process;;no;yes;no;;Challenge process;;İtiraz süreci;
Challenge review;;no;yes;no;;Challenge review;;Değerlendirmeye itiraz edin;
Challenged;;no;yes;no;;Challenged;;İtiraz edildi;
Change;;no;yes;no;;Change;;Değiştir;
Change workflow step;;no;yes;no;;Change workflow step;;İş akışı adımını değiştirin;
Chat;;no;yes;no;;Chat;;Sohbet;
Check-Ins;;no;yes;no;;Check-Ins;;Check-in görüşmeleri;
Check-in;;no;yes;no;;Check-in;;Check-in görüşmesi;
Check-in Details;;no;yes;no;;Check-in Details;;Check-in Görüşmesi Ayrıntıları;
Check-in Status;;no;yes;no;;Check-in Status;;Check-in Görüşmesi Durumu;
Check-in date;;no;yes;no;;Check-in date;;Check-in görüşmesi tarihi;
Check-in with;;no;yes;no;;Check-in with;;Şununla check-in görüşmesi yapın:;
Check-ins;;no;yes;no;;Check-ins;;Check-in görüşmeleri;
Check-ins created;;no;yes;no;;Check-ins created;;Check-in görüşmeleri oluşturuldu;
Choose one;;no;yes;no;;Choose one;;Birini seçiniz;
City;;no;yes;no;;City;;Şehir;
Clear;;no;yes;no;;Clear;;Temizle;
Clear all;;no;yes;no;;Clear all;;Tümünü temizle;
Clear all filters;;no;yes;no;;Clear all filters;;Tüm filtreleri temizle;
Clear all filters & search;;no;yes;no;;Clear all filters & search;;Tüm filtreleri ve aramayı temizleyin;
Clear all filters and search;;no;yes;no;;Clear all filters and search;;Tüm filtreleri ve aramayı temizleyin;
Clear filters;;no;yes;no;;Clear filters;;Filtreleri temizle;
Clear search;;no;yes;no;;Clear search;;Aramayı temizle;
Close;;no;yes;no;;Close;;Kapat;
Closed;;no;yes;no;;Closed;;Kapalı;
Closed without document;;no;yes;no;;Closed without document;;Belge olmadan kapatıldı;
Code;;no;yes;no;;Code;;Kod;
Collaborative;;no;yes;no;;Collaborative;;İşbirlikçi;
Collapse;;no;yes;no;;Collapse;;Daralt;
Color;;no;yes;no;;Color;;Renk;
Column name;;no;yes;no;;Column name;;Sütun adı;
Columns;;no;yes;no;;Columns;;Sütunlar;
Coming soon;;no;yes;no;;Coming soon;;Çok yakında;
Comm manager;;no;yes;no;;Comm manager;;İletişim yöneticisi;
Comm round;;no;yes;no;;Comm round;;İletişim turu;
Comment;;no;yes;no;;Comment;;Yorum;
Comments;;no;yes;no;;Comments;;Yorumlar;
Communication;;no;yes;no;;Communication;;İletişim;
Communication Rounds;;no;yes;no;;Communication Rounds;;İletişim Turları;
Communication manager;;no;yes;no;;Communication manager;;İletişim yöneticisi;
Communication manager name;;no;yes;no;;Communication manager name;;İletişim yöneticisi adı;
Communication round;;no;yes;no;;Communication round;;İletişim turu;
Communication rounds;;no;yes;no;;Communication rounds;;İletişim turları;
Comp Rounds;;no;yes;no;;Comp Rounds;;Ücret Turları;
Comp element;;no;yes;no;;Comp element;;Ücretlendirme öğesi;
Comp elements;;no;yes;no;;Comp elements;;Ücretlendirme öğeleri;
Comp manager;;no;yes;no;;Comp manager;;Komp yöneticisi;
Comp managers;;no;yes;no;;Comp managers;;Ücret yöneticileri;
Comp round;;no;yes;no;;Comp round;;Ücretlendirme dönemi;
Comp round currency;;no;yes;no;;Comp round currency;;Karşılaştırma turu para birimi;
Comp rounds;;no;yes;no;;Comp rounds;;Ücretlendirme dönemleri;
Comp tree;;no;yes;no;;Comp tree;;Ücretlendirme ağacı;
Company;;no;yes;no;;Company;;Şirket;
Company logo;;no;yes;no;;Company logo;;Şirket logosu;
Company name;;no;yes;no;;Company name;;Şirket adı;
Compare;;no;yes;no;;Compare;;Karşılaştır;
Compensation;;no;yes;no;;Compensation;;Ücretlendirme;
Compensation Element;;no;yes;no;;Compensation Element;;Ücretlendirme Öğesi;
Compensation History;;no;yes;no;;Compensation History;;Ücretlendirme Geçmişi;
Compensation Management;;no;yes;no;;Compensation Management;;Ücret Yönetimi;
Compensation Rounds;;no;yes;no;;Compensation Rounds;;Ücretlendirme Dönemleri;
Compensation element;;no;yes;no;;Compensation element;;Ücretlendirme öğesi;
Compensation elements;;no;yes;no;;Compensation elements;;Ücret unsurları;
Compensation field;;no;yes;no;;Compensation field;;Ücretlendirme alanı;
Compensation framework;;no;yes;no;;Compensation framework;;Ücretlendirme çerçevesi;
Compensation history;;no;yes;no;;Compensation history;;Ücretlendirme geçmişi;
Compensation manager;;no;yes;no;;Compensation manager;;Ücretlendirme yöneticisi;
Compensation philosophy;;no;yes;no;;Compensation philosophy;;Ücretlendirme felsefesi;
Compensation rounds;;no;yes;no;;Compensation rounds;;Tazminat turları;
Competency Scales;;no;yes;no;;Competency Scales;;Yetkinlik Ölçekleri;
Competency scale;;no;yes;no;;Competency scale;;Yetkinlik ölçeği;
Complete;;no;yes;no;;Complete;;Tamamla;
Completed;;no;yes;no;;Completed;;Tamamlandı;
Completion;;no;yes;no;;Completion;;Tamamlama;
Completion rate;;no;yes;no;;Completion rate;;Tamamlama oranı;
Concatenated fields;;no;yes;no;;Concatenated fields;;Birleştirilmiş alanlar;
Condition;;no;yes;no;;Condition;;Koşul;
Conditional;;no;yes;no;;Conditional;;Koşullu;
Conditional formatting;;no;yes;no;;Conditional formatting;;Koşullu biçimlendirme;
Config;;no;yes;no;;Config;;Yapılandırma;
Configuration;;no;yes;no;;Configuration;;Yapılandırma;
Configurations;;no;yes;no;;Configurations;;Yapılandırmalar;
Confirm;;no;yes;no;;Confirm;;Onayla;
Confirm deletion;;no;yes;no;;Confirm deletion;;Silme işlemini onaylayın;
Confirmation;;no;yes;no;;Confirmation;;Onay;
Connection name;;no;yes;no;;Connection name;;Bağlantı adı;
Constructive;;no;yes;no;;Constructive;;Yapıcı;
Contains;;no;yes;no;;Contains;;İçerir;
Continue;;no;yes;no;;Continue;;Devam;
Continue editing;;no;yes;no;;Continue editing;;Düzenlemeye devam et;
Contract type;;no;yes;no;;Contract type;;Sözleşme türü;
Conversation & publication;;no;yes;no;;Conversation & publication;;Görüşme ve yayın;
Copy;;no;yes;no;;Copy;;Kopyala;
Cost Center;;no;yes;no;;Cost Center;;Maliyet Merkezi;
Cost center;;no;yes;no;;Cost center;;Maliyet merkezi;
Count;;no;yes;no;;Count;;Sayı;
Country;;no;yes;no;;Country;;Ülke;
Create;;no;yes;no;;Create;;Oluştur;
Create check-in;;no;yes;no;;Create check-in;;Check-in görüşmesini oluşturun;
Create communication round;;no;yes;no;;Create communication round;;İletişim turu oluşturun;
Create document;;no;yes;no;;Create document;;Belge oluştur;
Create goal;;no;yes;no;;Create goal;;Hedef oluştur;
Create goal plan;;no;yes;no;;Create goal plan;;Hedef planı oluşturun;
Create goal type;;no;yes;no;;Create goal type;;Hedef türü oluşturun;
Create model;;no;yes;no;;Create model;;Model oluştur;
Create performance review;;no;yes;no;;Create performance review;;Performans değerlendirmesini oluşturun;
Create rule;;no;yes;no;;Create rule;;Kural oluştur;
Created;;no;yes;no;;Created;;Oluşturuldu;
Created by;;no;yes;no;;Created by;;Oluşturan;
Created date;;no;yes;no;;Created date;;Oluşturulma tarihi;
Created on;;no;yes;no;;Created on;;Oluşturulma tarihi;
Creation date;;no;yes;no;;Creation date;;Oluşturulma tarihi;
Creator;;no;yes;no;;Creator;;Oluşturucu;
Criteria;;no;yes;no;;Criteria;;Kriterler;
Criteria blocks;;no;yes;no;;Criteria blocks;;Kriter blokları;
Criterion;;no;yes;no;;Criterion;;Kriter;
Currency;;no;yes;no;;Currency;;Para Birimi;
Currency Settings;;no;yes;no;;Currency Settings;;Para Birimi Ayarları;
Currency field;;no;yes;no;;Currency field;;Para birimi alanı;
Currency source;;no;yes;no;;Currency source;;Para birimi kaynağı;
Current;;no;yes;no;;Current;;Mevcut;
Current manager;;no;yes;no;;Current manager;;Mevcut yönetici;
Custom;;no;yes;no;;Custom;;Özel;
Custom Entities;;no;yes;no;;Custom Entities;;Özel Varlıklar;
Custom Fields;;no;yes;no;;Custom Fields;;Özel Alanlar;
Custom column;;no;yes;no;;Custom column;;Özel sütun;
Custom criteria;;no;yes;no;;Custom criteria;;Özel kriterler;
Custom entities;;no;yes;no;;Custom entities;;Özel varlıklar;
Custom fields;;no;yes;no;;Custom fields;;Özel alanlar;
Custom section;;no;yes;no;;Custom section;;Özel bölüm;
Custom widget;;no;yes;no;;Custom widget;;Özel pencere öğesi;
Data Entities & Sources;;no;yes;no;;Data Entities & Sources;;Veri Varlıkları ve Kaynakları;
Data Management;;no;yes;no;;Data Management;;Veri Yönetimi;
Data Modeler;;no;yes;no;;Data Modeler;;Veri Modelleyici;
Data Privacy;;no;yes;no;;Data Privacy;;Veri Gizliliği;
Data Retention;;no;yes;no;;Data Retention;;Veri Saklama;
Data Upload;;no;yes;no;;Data Upload;;Veri Yükleme;
Data entities & sources;;no;yes;no;;Data entities & sources;;Veri varlıkları ve kaynakları;
Data foundation;;no;yes;no;;Data foundation;;Veri temeli;
Data management;;no;yes;no;;Data management;;Veri yönetimi;
Data model;;no;yes;no;;Data model;;Veri modeli;
Data privacy;;no;yes;no;;Data privacy;;Veri gizliliği;
Data privacy statement;;no;yes;no;;Data privacy statement;;Veri gizliliği bildirimi;
Data retention period;;no;yes;no;;Data retention period;;Veri saklama süresi;
Data scope;;no;yes;no;;Data scope;;Veri kapsamı;
Data source;;no;yes;no;;Data source;;Veri kaynağı;
Dataset;;no;yes;no;;Dataset;;Veri Kümesi;
Date;;no;yes;no;;Date;;Tarih;
Date & Time;;no;yes;no;;Date & Time;;Tarih ve Saat;
Date & time;;no;yes;no;;Date & time;;Tarih ve saat;
Date to;;no;yes;no;;Date to;;Şu tarihe kadar;
Days;;no;yes;no;;Days;;Günler;
Deactivate;;no;yes;no;;Deactivate;;Devre Dışı Bırak;
Deactivated;;no;yes;no;;Deactivated;;Devre Dışı Bırakıldı;
Deactivated user;;no;yes;no;;Deactivated user;;Devre dışı bırakılan kullanıcı;
Deactivation;;no;yes;no;;Deactivation;;Devre Dışı Bırakma;
Deadline status;;no;yes;no;;Deadline status;;Son tarih durumu;
Decimal;;no;yes;no;;Decimal;;Ondalık;
Decimal precision;;no;yes;no;;Decimal precision;;Ondalık hassasiyeti;
Default;;no;yes;no;;Default;;Varsayılan;
Default beqom logo;;no;yes;no;;Default beqom logo;;Varsayılan beqom logosu;
Default value;;no;yes;no;;Default value;;Varsayılan değer;
Delete;;no;yes;no;;Delete;;Sil;
Delete all;;no;yes;no;;Delete all;;Tümünü sil;
Delete comment;;no;yes;no;;Delete comment;;Yorumu sil;
Delete goal;;no;yes;no;;Delete goal;;Hedefi sil;
Delete note;;no;yes;no;;Delete note;;Notu sil;
Delete rule;;no;yes;no;;Delete rule;;Kuralı sil;
Delete selected;;no;yes;no;;Delete selected;;Seçilenleri sil;
Deleted;;no;yes;no;;Deleted;;Silinmiş;
Deleted by;;no;yes;no;;Deleted by;;Silen;
Deletion;;no;yes;no;;Deletion;;Silme;
Deliverable;;no;yes;no;;Deliverable;;Teslim edilecek öğe;
Deliverables;;no;yes;no;;Deliverables;;Teslim edilecek öğeler;
Demographic;;no;yes;no;;Demographic;;Demografik;
Demographics;;no;yes;no;;Demographics;;Demografi;
Department;;no;yes;no;;Department;;Departman;
Description;;no;yes;no;;Description;;Açıklama;
Desktop;;no;yes;no;;Desktop;;Masaüstü;
Details;;no;yes;no;;Details;;Ayrıntılar;
Development;;no;yes;no;;Development;;Gelişim;
Development plans;;no;yes;no;;Development plans;;Gelişim planları;
Digital reward statement;;no;yes;no;;Digital reward statement;;Dijital ödül bildirimi;
Direct Reports;;no;yes;no;;Direct Reports;;Doğrudan Bağlı Çalışanlar;
Direct report;;no;yes;no;;Direct report;;Doğrudan bağlı çalışan;
Direct reports;;no;yes;no;;Direct reports;;Doğrudan bağlı çalışanlar;
Direction;;no;yes;no;;Direction;;Yön;
Disable;;no;yes;no;;Disable;;Devre dışı bırak;
Disabled;;no;yes;no;;Disabled;;Devre dışı bırakıldı;
Discard;;no;yes;no;;Discard;;İptal Et;
Discussion;;no;yes;no;;Discussion;;Görüşme;
Discussion outcome;;no;yes;no;;Discussion outcome;;Tartışma sonucu;
Discussion point;;no;yes;no;;Discussion point;;Tartışma konusu;
Discussion points;;no;yes;no;;Discussion points;;Tartışma konuları;
Display name;;no;yes;no;;Display name;;Görüntülenen ad;
Distribution;;no;yes;no;;Distribution;;Dağıtım;
Distribution guidelines;;no;yes;no;;Distribution guidelines;;Dağıtım yönergeleri;
Document;;no;yes;no;;Document;;Belge;
Document Settings;;no;yes;no;;Document Settings;;Belge Ayarları;
Document Templates;;no;yes;no;;Document Templates;;Belge Şablonları;
Document generation;;no;yes;no;;Document generation;;Belge oluşturma;
Document name;;no;yes;no;;Document name;;Belge adı;
Document preview;;no;yes;no;;Document preview;;Belge önizlemesi;
Document review;;no;yes;no;;Document review;;Belge değerlendirmesi;
Document settings;;no;yes;no;;Document settings;;Belge ayarları;
Document status;;no;yes;no;;Document status;;Belge durumu;
Document template;;no;yes;no;;Document template;;Belge şablonu;
Documents;;no;yes;no;;Documents;;Belgeler;
Done;;no;yes;no;;Done;;Tamamlandı;
Download;;no;yes;no;;Download;;İndir;
Download CSV;;no;yes;no;;Download CSV;;CSV'yi İndir;
Download log file;;no;yes;no;;Download log file;;Günlük dosyasını indir;
Download template;;no;yes;no;;Download template;;Şablonu indir;
Download the template;;no;yes;no;;Download the template;;Şablonu indirin;
Draft;;no;yes;no;;Draft;;Taslak;
Drop-down list;;no;yes;no;;Drop-down list;;Açılır liste;
Due date;;no;yes;no;;Due date;;Son tarih;
Duplicate;;no;yes;no;;Duplicate;;Kopyala;
Duplication successful;;no;yes;no;;Duplication successful;;Kopyalama başarılı;
Edit;;no;yes;no;;Edit;;Düzenle;
Edit goal;;no;yes;no;;Edit goal;;Hedefi düzenle;
Edit model;;no;yes;no;;Edit model;;Modeli düzenle;
Edit note;;no;yes;no;;Edit note;;Notu düzenle;
Edited;;no;yes;no;;Edited;;Düzenlendi;
Editor;;no;yes;no;;Editor;;Editör;
Education;;no;yes;no;;Education;;Eğitim;
Effective date;;no;yes;no;;Effective date;;Yürürlük tarihi;
Eligibility;;no;yes;no;;Eligibility;;Uygunluk;
Eligible;;no;yes;no;;Eligible;;Uygun;
Eligible workers;;no;yes;no;;Eligible workers;;Uygun çalışanlar;
Else;;no;yes;no;;Else;;Diğer;
Email;;no;yes;no;;Email;;E-posta;
Email Notifications;;no;yes;no;;Email Notifications;;E-posta Bildirimleri;
Email address;;no;yes;no;;Email address;;E-posta adresi;
Email notification;;no;yes;no;;Email notification;;E-posta bildirimi;
Email notifications;;no;yes;no;;Email notifications;;E-posta bildirimleri;
Email subject;;no;yes;no;;Email subject;;E-posta konusu;
Employment;;no;yes;no;;Employment;;İstihdam;
Empty;;no;yes;no;;Empty;;Boş;
Enable;;no;yes;no;;Enable;;Etkinleştir;
Enable Feedback;;no;yes;no;;Enable Feedback;;Geri Bildirimleri Etkinleştirin;
Enabled;;no;yes;no;;Enabled;;Etkinleştirildi;
End date;;no;yes;no;;End date;;Bitiş tarihi;
Endorsed;;no;yes;no;;Endorsed;;Onaylandı;
Enter;;no;yes;no;;Enter;;Girin;
Enter a name;;no;yes;no;;Enter a name;;Bir ad girin;
Enter text;;no;yes;no;;Enter text;;Metin girin;
Entities;;no;yes;no;;Entities;;Varlıklar;
Entities & fields;;no;yes;no;;Entities & fields;;Varlıklar ve alanlar;
Entity;;no;yes;no;;Entity;;Varlık;
Entity details;;no;yes;no;;Entity details;;Varlık ayrıntıları;
Entity enum;;no;yes;no;;Entity enum;;Varlık numaralandırması;
Entity name;;no;yes;no;;Entity name;;Varlık adı;
Enum;;no;yes;no;;Enum;;Sıralı Liste;
Equal to;;no;yes;no;;Equal to;;Eşit;
Equity;;no;yes;no;;Equity;;Hisse Senedi;
Error;;no;yes;no;;Error;;Hata;
Errors;;no;yes;no;;Errors;;Hatalar;
Evaluation section;;no;yes;no;;Evaluation section;;Değerlendirme bölümü;
Examples;;no;yes;no;;Examples;;Örnekler;
Exchange Rates;;no;yes;no;;Exchange Rates;;Döviz Kurları;
Exchange rate;;no;yes;no;;Exchange rate;;Döviz kuru;
Exchange rate type;;no;yes;no;;Exchange rate type;;Döviz kuru türü;
Exchange rates;;no;yes;no;;Exchange rates;;Döviz kurları;
Exclude;;no;yes;no;;Exclude;;Hariç Tut;
Exclude individuals;;no;yes;no;;Exclude individuals;;Kişileri hariç tut;
Excluded;;no;yes;no;;Excluded;;Hariç tutuldu;
Exit;;no;yes;no;;Exit;;Çıkış;
Exit without saving;;no;yes;no;;Exit without saving;;Kaydetmeden çık;
Expand;;no;yes;no;;Expand;;Genişlet;
Experience;;no;yes;no;;Experience;;Deneyim;
Export;;no;yes;no;;Export;;Dışa Aktar;
Expression;;no;yes;no;;Expression;;İfade;
Expression formula;;no;yes;no;;Expression formula;;İfade formülü;
External;;no;yes;no;;External;;Harici;
Failed;;no;yes;no;;Failed;;Başarısız;
Favorite;;no;yes;no;;Favorite;;Favori;
Favorite feedback;;no;yes;no;;Favorite feedback;;Favori geri bildirimler;
Favorites;;no;yes;no;;Favorites;;Favoriler;
Feature;;no;yes;no;;Feature;;Özellik;
Feature Enablement;;no;yes;no;;Feature Enablement;;Özellik Etkinleştirme;
Feature enablement;;no;yes;no;;Feature enablement;;Özellik etkinleştirme;
Features;;no;yes;no;;Features;;Özellikler;
Feedback;;no;yes;no;;Feedback;;Geri bildirimler;
Feedback Ratings;;no;yes;no;;Feedback Ratings;;Geri Bildirimler Değerlendirmeleri;
Feedback from;;no;yes;no;;Feedback from;;Şu kişiden alınan geri bildirimler;
Feedback insights;;no;yes;no;;Feedback insights;;Geri bildirimlere ilişkin içgörüler;
Feedback note;;no;yes;no;;Feedback note;;Geri bildirimlere ilişkin not;
Feedback notes;;no;yes;no;;Feedback notes;;Geri bildirimlere ilişkin notlar;
Feedback rating;;no;yes;no;;Feedback rating;;Geri bildirimlerin puanı;
Feedback received;;no;yes;no;;Feedback received;;Geri bildirimler alındı;
Feedback request;;no;yes;no;;Feedback request;;Geri bildirimlere ilişkin talep;
Feedback requested;;no;yes;no;;Feedback requested;;Geri bildirimler talep edildi;
Feedback requests;;no;yes;no;;Feedback requests;;Geri bildirimlere ilişkin talepler;
Feedback sent;;no;yes;no;;Feedback sent;;Geri bildirimler gönderildi;
Feedback sent to;;no;yes;no;;Feedback sent to;;Geri bildirimler şu kişiye gönderildi;
Female;;no;yes;no;;Female;;Kadın;
Field;;no;yes;no;;Field;;Alan;
Field name;;no;yes;no;;Field name;;Alan adı;
Fields;;no;yes;no;;Fields;;Alanlar;
Fields used;;no;yes;no;;Fields used;;Kullanılan alanlar;
File name;;no;yes;no;;File name;;Dosya adı;
File upload;;no;yes;no;;File upload;;Dosya yükleme;
Fill in the necessary details;;no;yes;no;;Fill in the necessary details;;Gerekli bilgileri doldurunuz;
Filter;;no;yes;no;;Filter;;Filtre;
Filters;;no;yes;no;;Filters;;Filtreler;
Final;;no;yes;no;;Final;;Son;
Final Validation;;no;yes;no;;Final Validation;;Son Doğrulama;
Final validation;;no;yes;no;;Final validation;;Son doğrulama;
Fixed;;no;yes;no;;Fixed;;Sabit;
For managers;;no;yes;no;;For managers;;Yöneticiler için;
For workers;;no;yes;no;;For workers;;Çalışanlar için;
Formatting;;no;yes;no;;Formatting;;Biçimlendirme;
Forms;;no;yes;no;;Forms;;Formlar;
Formula;;no;yes;no;;Formula;;Formül;
From;;no;yes;no;;From;;Kimden;
Full name;;no;yes;no;;Full name;;Tam adı;
Functions;;no;yes;no;;Functions;;Fonksiyonlar;
Gender;;no;yes;no;;Gender;;Cinsiyet;
General;;no;yes;no;;General;;Genel;
General information;;no;yes;no;;General information;;Genel bilgiler;
Generate;;no;yes;no;;Generate;;Oluştur;
Generate PDF;;no;yes;no;;Generate PDF;;PDF Oluştur;
Generated;;no;yes;no;;Generated;;Oluşturuldu;
Generation date;;no;yes;no;;Generation date;;Oluşturma tarihi;
Get started by creating one;;no;yes;no;;Get started by creating one;;Bir tane oluşturarak başlayın;
Give;;no;yes;no;;Give;;Ver;
